S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
1,01-Jul-2017 - 00:00,02-Jul-2017 - 00:00,34.45,58.86,3.33,16.91,11.45,5.12,34.78,1.38,62.2,3.59,8.32,42.54,81.47,1.76,292.28,77.73,735.23,0.08,26.23,0.08,2.53,7.5
2,02-Jul-2017 - 00:00,03-Jul-2017 - 00:00,40.48,110.71,3.01,15.35,10.61,3.81,13.97,1.12,9.77,3.47,9.02,27.06,79.99,1.92,281.92,80.81,736.38,0.09,26.34,0.02,2.08,2
3,03-Jul-2017 - 00:00,04-Jul-2017 - 00:00,42.87,105.22,3.39,19.65,13.2,4.4,31.77,0.31,13.5,3.99,11.21,27.2,76.49,1.81,284.73,76.28,737.94,0.08,27.59,0.01,3.03,1
4,04-Jul-2017 - 00:00,05-Jul-2017 - 00:00,46.26,123.44,3.19,16.26,11.23,4.98,31.88,0,15.14,4.86,12.12,27.67,71.53,1.84,275.53,146.96,736.99,0.09,30.54,0,2.9,0
5,05-Jul-2017 - 00:00,06-Jul-2017 - 00:00,49.75,128.45,3.62,16.9,11.91,4.65,31.36,0,14.31,4.11,12.94,27.41,68.27,1.68,279.56,136.44,736.29,0.08,32.29,0,2.6,0
6,06-Jul-2017 - 00:00,07-Jul-2017 - 00:00,44.23,112.35,2.87,16.06,10.88,4.74,12.41,0,16.04,4.22,13.85,27.63,69.82,1.37,274.75,89.51,735.94,0.09,30.55,0,2.36,0
7,07-Jul-2017 - 00:00,08-Jul-2017 - 00:00,54.96,128.73,2.42,17.18,11.09,4.43,30.06,0,11.85,4.99,13.57,27.38,75.74,1.19,288.26,69.54,736.47,0.06,28.18,0.01,3.1,0.5
8,08-Jul-2017 - 00:00,09-Jul-2017 - 00:00,50.69,108.53,2.94,12.97,9.19,4.27,25.22,0,20.13,3.63,11.07,32.01,81,1.11,232.48,76.14,737.6,0.07,27.59,0,2.12,0
9,09-Jul-2017 - 00:00,10-Jul-2017 - 00:00,3.86,,2.39,12.62,8.26,,16.25,0,62.74,0.95,1.13,,76.78,1.51,300.16,63.36,740.36,0.05,29.27,0,1.26,0
10,10-Jul-2017 - 00:00,11-Jul-2017 - 00:00,25.45,59.3,3.31,9.64,7.55,3.63,14.28,,,4.3,6.51,45.41,74.15,2.36,303,157.59,739.73,0.08,31.98,0,2.35,0
11,11-Jul-2017 - 00:00,12-Jul-2017 - 00:00,36.68,66.98,2.21,9.31,6.72,2.86,22.75,0,20.92,2.89,9.15,30.41,77.31,1.32,220.62,131.27,738.64,0.07,29.1,0.03,1.78,2.5
